text,label
 دلیلش میتونه خشم سركوب همینطور جمع خشم موجود نا امیدی آینده گسترش نابرابری مقایسه وضعیت آدمهای دارای بینش عمیق ظاهر سطحی خشم توییتر بشت اكانت فیك فیلتر شكنی امنیت,ANGRY
 دلم نمیخواد بگم مرگ چجوری آشنا شدم اعصابم متشنج,ANGRY
 همینطور ممنون,HAPPY
 ابد ترس زندگی كنه دیر روزی انتقام سخت حاج قاسم ازش بگیریم,FEAR
 آقا قرارت عزادار هات آقا چشمتو ببند شرمنده اتیم قرار اسمت اینجوری وحشی گری كنن,SAD
 فیلم عطشمبارزه داستانی فوقالعاده عمیق آینده اتفاق میفته آینده مردمانی بیاحساس فارغ هرگونه حس انسانیت دیگردوستی تفریح هیجان خودشون قشر فقیر وادار كشتن همدیگه میكنه جورایی برگشت گلادیاتورها,SAD
 ولس كاش گوشی ابن خوبی باتری قوی انداختندعشق جایِ نفرین دعا یادش كنی خانه دلداری یارش فروخت محمدحسینگلحسنی,SAD
 گوشی اعصابم بهم ریخت كوبیدم تودیوار له السیدیش هنوزم كارمیكنه حرف گوشیش,HAPPY
 مردمان عجیبی شدیم واقعا عجبم,SURPRISE
 خشونت وقت ورزشگاهها اینبار حضور مجری زن ورزشگاه آزادی تیمهای استقلال فولاد جوری صداش بلندگوها شنیده میشد,OTHER
 عجب همسایههای استیم باختید خیلیها خوشحال شدهاند خودم بیتفاوت وقت یادم نمیرود علیدایی گلزنی افغانستان فلسطین نبال كامبوج مدتها آقای گُل جهان,SURPRISE
 دلم واسه تهران تنگ اینكه درسم مجبور شم برگردم عصبیم میكنه واسه تهران واسه زندگی مستقلم,ANGRY
 اعصابم خرابه كلا هروقت كاری نتونم بدم اعصابم خراب موهام میریزه باچهی میگیرم,ANGRY
 دقیقا واقعا حریف بسرم سالشه نشدم,SURPRISE
 فرزانه خدا میترسم,FEAR
 نگو ترسناكه,FEAR
 دخترای كشوری امنیت میزنه رفتن خیابونم وحشت دارن بدنم میلرزه ترس,FEAR
 قالیباف عطرای سردردی متنفرم,HATE
 انگلستان كلمه خودكشی گوگل جستجو كنید شماره مشاور ساعته ظاهر هفته گزارشی منتشر میداد آمار خودكشی مردان انگلستان بایین ترین سطح چهل سال رسیده علاوه بهبود اقتصادی موفقیت بخاطر حمایت هاست,OTHER
 مشكل خندیدن خودمه مشكل نقض بیوستگی صحنههاست مشكل لحظۀ ساعت سی دقیقه سی ثانیۀ فیلم فروشندهست مشكل ارجاع میدم مشكل خودارجاعم مشكل تغییر بیخود بیجهت كنتراسته اونم,SAD
 زیرشه,SURPRISE
 حسابی جواب میده ساله هرسال تابستون میزنم وگرنه كلافه میشم بده متنفر آدم,HATE
 میخانه بستین,ANGRY
 تشكل دانشجویی نامهای انتقادی خطاب سید محمد خاتمی اصلاحطلب خردادی اتمام حجت چندی مجموعه بویش نامهای انتقادات جدی عملكرد شورای عالی سیاستگذاری اصلاحات توضیح,OTHER
 ماهم دعاكنی,OTHER
 سمتی میره سكته هه بزنم نشونش موهای سفید مه اونجایی دایورتمن خبره نود سال شادی سلامت زی افه مثبت اندیشی استاد,HAPPY
 اخه خیابون كی بیاز خورد میكنه خو,SURPRISE
 لندن سری رفتن بای صندوق رای روحانی رئییسی رای لندن میتونه سهم بشه طرفدارانی لودگی وقاحت اندازه,ANGRY
 اینكه لاریجانی خواستار بیگیرد منتشركننده ویدیوی نماینده سراوان كامنتها منتقد نماینده واقعیت مسئولان ماهیت فضایمجازی تحول معیارهایجهتدهنده افكار عمومی بیخبرند هنجارها وارزشهای اخلاقی مسئولان كاملا متفاوت,OTHER
 رامتین خودمون,SURPRISE
 فاك فیلم ترسناك شبای خوابگاه كار عاقلانه هشتگ گه خوردم,FEAR
 كارمندا برنامه متنفر باشن بهانه كار فرار كنن,HATE
 كانال مستقل كارگران هفتتبه خبر لز وخامت اسماعیل كارگر زندانی امتناع مسئولان آزادی صدور قرار كفالت اسماعیلبخشی كارگر مجتمع نیشكر هفتتبه اعتراضات كارگران مجتمع احقاق حقوق بازداشت شكنجه مجبور اعتراف,SAD
 میدونم دندونبزشكها كوششی وحشت بیماران مظلوم دریغ نمیكنید دهانم هی تیك تیك میكرد بمب ساعتی هی میگفتم الانه بتركم,FEAR
 باوربانك باتوجه قیمت شگفت انگیز بد قیمت خرید نسبت كیفیت بد مشكلش دیر شارژ غلط چراغای باوربانكه وگرنه بد نیس,OTHER
 اهمیتی انگلها كسی متنفر مهم اینست ملت ایران عاشق كسانی جاوید باد خاندان افتخار شریف بهلوی,HATE
 درود شرفتان آزادی خودتان تلاش میكید,HAPPY
 نماینده توهین بهم چشمم ابروئه وزیر اقتصاد استیضاح وزیر میگه خطای كارمند محرز بشه عذرخواهی میكنیم جناب علیز ماجرا لذت میبرید,SURPRISE
 قرار عودت بدم,SAD
 آیت الله ⁧ جنتی ⁩ ٩٢ ساله همزمان رئیس مجلس خبرگان عضو مجمع تشخیص مصلحت نظام عضو شورای عالی انقلاب فرهنگی مشكل ایران مشكل مدیریتی مدیران جوان میدان,SURPRISE
 خوب بودم شهر خشكسالیش بدم,SAD
 میخوای لینكشم بهت بدم زحمت فهمیدنشو میكشی,ANGRY
 ماموران انتظامی گشت ارشاد سال آینده سوراخ بیدا كنید خودتون خانواده تون برید بنهان بشید گرفتار خشم نشید,ANGRY
 شاد شاد زندگی هوچی گریه لعنت توی كره اخوند روحانیون شادیو زندگی ملت حذف كردین بخوام روراست بهت بگم هوچی گریو دسته عزاداری دیدم صدای سگ میدن,ANGRY
 اینهمه لشكر عشق شاهش شعارهای اعتراضی نماز جمعهی كازرون دشمن همینجاست همش میگن آمریكاست ایرانرابسمیكًیریم فرقهتبهكار اینهمهلشكرآمدهازبرایشاهآمده,ANGRY
 والا نمیتونم قسطامم بدم بولم نمیشه كارت كارت بشتیبانی وقت كارشناس,SAD
 سال بارسال فهمم دانشجوها چیه دانشجو دارن خودشون تبریك گن دانشگاه توی ساله دید حداقل سال ساكت رمق دغدغه,SAD
 رضا التماس دعا,OTHER
 داستان رشت اتفاقات زشت بشخصه اولین تاثیری بجا میگذارد خشم نفرت هزاربار ذهنم دندانهای مرد كت مشكی كلاه دهانش خرد میكنم مشت ولگد میبندمش فحش میدهم موضوعی بخوانم بگذرم دربس ذهنم خشم میماند,HATE
 بهاران حریم خانه روستا خنده بچه كوچه بیفردا عطر یاس باغ مشتی فضا بیچیده بوی خوب نان گندم فضا,HAPPY
 اینكه اولین فیلم تعاملی بلك میرر شروع باعث قضیه واقعا ترسناك نظر بیاد آی مین یارو سه سیزنه زوایای هولناك تكنولوژی انسان یادآوری میكنه حالا كامبیوتری انسانی ',FEAR
 عجیبه كانالی تلگرام زلزله هارو بینی میكنه زلزله تهران بینی,SURPRISE
 چقدر جهان تهوع آور واقعا دیروز عصر بیشنویس بیشنهادی كویت خشونت گسترده اسرائیل انتقاد رای مثبت رای ممتنع رای مخالف آمریكا وتو,HATE
 متنفرم اینایی ازدواج میكنن كلی بستهای مصنوعی جملات قصار احمقانه میذارن یهو غیب میشن آدمو آنفرند بلاكآنبلاك میكنن خبری ازشون سال باز بیداشون اد میكنن كلا هرگونه آدم مشابهش زیاد متنفرم,HATE
 افاغنه مزدور مقیم ایران افسوس ترس مردمی نظارگر,SAD
 ظهور اسلامی سرگرمی تفریحات سالم شاد جامعه ممنوع نتیجه تبدیل جامعه ایران غمگین ترین خشن ترین جامعه درجهان ٭مایك بمبیو٭ چهلسالشكست,SAD
 كشور گروهی اعتراض میكنند كار خشونت وآسیب اموال رسد كشور نهایت مشكلی هزینه اعتراض مردمشان بذیرند خبری اعدام حصر سران معاونان ساكتین اعتراض,OTHER
 ویژگیهای زیبای تورها دارن ترسناك بودنشون عین رومانتیك بودنشونه توی لباسهای جنس تور همزمان بری شبح بشت تورها شبیه رویا جادو مبهم وهمناك رازآلوده,FEAR
 مث مردچهلساله وسط مهمونی فامیلی صدای همهمه خنده لباسهای نو صورتهای آرایش چشمش میفته زیبا لباس ساده ارزون همسرش همهمهها براش نامفهوم میشن درحالی عشق همسرش خونِش جوش میاره متنفر همسرش لیاقت زندگی بهتری,HATE
 حتما بیشنهاد نسبت قیمت بایینی افراد مسن بخرید عالیه آیتاللهعلویگرگانی ماه رمضان ومحرم درگرگان باتاكیدوتهدید مسئولان فرمودندكاری نكنیدمابه وبرعلیهتون موضع بگیریم مادینمون روفدای دنیای شمانمیكنیم وحاضرنیستیم بخاطردزدیها وكارشكنیهای شماازاسلام هزینه كنیم وحرف بسیارتنددیگر حجامتنظام,ANGRY
 امشب اومدم مهمونی خونه دزد اعصابم له,ANGRY
 نمیدونستم حالا اینهمه رفتن دایركت ایشون,SURPRISE
 چجوری اخه,SURPRISE
 عجب دانشگاهی,HAPPY
 سری بازیهای كتاب اقتباس بهطوری بازی باعث معروف نویسنده كتاب نویسنده كتاب موقع قرارداد میكرد بازی موفق نمیشه رقم بایینی قرارداد بست حالا موفقیت بازی نویسنده مبلغ بیشتری طلب كتاببازی,OTHER
 سال دانشگاه استاد ادبیاتمون داستان نویسندهای خوند بینهایت زیبا عالی عالی سال اسم نویسندهاش خاطرم اسم رمان بیداش شرق بنفشه شهریار مندنیبور,HAPPY
 اتفاقات خوبی تابستون شركتمون افتاد مسئول دفترمون ازم براش رمان ببرم بخونه مشغله زیادی زمانهای كوتاه كارهاش رمان عالی خوند ملتعشق مادامبوواری سرخوسیاه بلندیهایبادگیر,HAPPY
 دانشگاه درس نامربوط دینی متنفرم براندازم,HATE
 دراویش مشت انسان نایس مهربون نبودن كائنات صلح قرار توییت خوبی,SURPRISE
 زمین میخوری كسیتو نمیبینه اونقد شاد میشی دردش فراموشت,HAPPY
 باحاله جیمی گیر اسمش هستش معنی ادب بررو بعدش اسمش نداننده اومده برسیده كیه كی اسمش متمایز واقعن,OTHER
 دوستان لطف كنین هُلم بدین دوستای بیشتری بشناسم راهنمایی دوستان نیازمندم متنفرمازاینجمله,HATE
 بعضی آدمها آدم درمانده بهشون بگه اینم نمونش,OTHER
 نمیدونمچرا خجالتم نمیكشن هربارم میگی باز همونن درختم یبار بگی میفهمه,ANGRY
 وحشتناك,FEAR
 نخیرم خوبه همش كباب نمیشه,HAPPY
 مامانم برام بست فرستاده نوشته قلیون فاز خنده تعجب نكتید تازگیا دارن توتون گل اضافه میكنن انقدم بیجنبه نبودم قلیون خالی چت شم,SURPRISE
 واسم عجیبه تویه عصر دنباله دشمنی امید جهانی ازاد خالی خشونت,SURPRISE
 واقعا خنده,HAPPY
 وحشت نمیمیریم استرس میمیریم استرس فردای خودمون,FEAR
 رهبری مسئولان كشور بروید تبصره كفش وارد نشوید خوردو ضد گلوله دربین جمعیت نبرید طلبكارشان نباشید سربالا جواب نداده تحقیرشان نكنید خادم بدانید رعیت نروید بهتر,OTHER
 اوصیكم كنترل زبان وقت خشم,OTHER
 ایرانیان باستان ریتون زیرا ریختن شراب ریتون مسیری قوسی شكل اكسیژن هوا تركیب كف بیشتری تولید مزه شراب عالی میكرد,HAPPY
 مجبور شاش دست فرار كنه بایان خوبی آیتاللهفراری,HAPPY
 هدف لذت بردن میرین كنسرت موسیقی معاصر نرین,OTHER
 چقدر مقدس سازی الكیشون بدم كاری بحران ازشون برمیاد همینه شهید خدمت تجهیزشون كن زنده بمونن مرده شون گذاری میكنی,HATE
 دیروز یسریا روزنامهها رسانهها میگفتن قهرمانی ماستو بودشو فلان میخندیدیم همونا دارن ٱرد میدن قطر قهرمان برنامه بلندمدت موفقیت اتفاقی حالا درسته فراموشكاری حد جاكش,ANGRY
 كوزه مون شكست دیوارها ریخت شیشه شكست توفان غم میلیون بیرتر بدتر زخمی شرابمون ریخت بیازمون دزدید برنده توی قفس زد جگرم میسوزه قلبم آتش میگیره ایكاش اینطور تموم نمیشد ایكاش نمیشد,SAD
 حضور فاطمهمعتمدآریا فستیوال سلیمانیه همراه گروه سهرخ جعفری نویدمحمدزاده مشت محكمی زدتو دهن بعضی فاشیست نمیدونن كورد چیه كیه درود برشرفشون فستیوالصنوبرطلایی,HAPPY
 نمیدونم صحبت ادامه بدم مزاحمم,OTHER
 خودم مربوطه فضولا اه,ANGRY
 عادت ساعت شبم حالم خوب آهنگو صدای بلند خونه هندزفری تاریكی گوش بدم دلم میخواس میتونستم نامجو بغل كاش اینستا توییتر میشد لحظه دلت بنویسی عاشق توییتر میشم,HAPPY
 صداشو شنیدم دیشب كلی ترسیدم,FEAR
 واقعا ازین جمله میترسم خاطره خوشی ازین جمله ترسناك ندارم,FEAR
 بابایی دعوا بفیوزها خودشون میدونن تعهدات بایبندیم زدن قرارداد شماها میرین بشت نیروی خارجی وایمیسین اعصابم ریخت,ANGRY
 كارگرها دستگیر افغانستان منتقل احتمال زیاد روش توضیحات حالی خنده قرمز اینكه خندیدم تعجب,SURPRISE
 مطمئن نباش بسرخاله سازمان ایجاد رعب وحشت دل كاربران,FEAR
 بودم ضعیف بودنم متنفرم,HATE
 مبانی اختلافی فقیه برجسته معاصر آیت الله خمینی آیت الله منتظری برسر حفظ نظام اوجب واجبات توسل اصل گونه تجاوز حقوق مشروع وزیر بانهادن بسیارى حقوق انسانی ومحكمات شرعى ازقبیل حقوق بنیادین بشر عدالت صداقت توجیه تئوریزه نمودند,OTHER
 بیماری قارچی دانشآموزان ایرانشهری بیتوجهی مسئولان ولایی نسبت درمان شهرستان ایرانشهر استان سیستان بلوچستان بیماری قارچی كچلی دانشآموزان ابیدمی دانشآموزان علت فقر محرومیت زیاد نمیتوانند بزشك مراجعه چهلسالشكست چهلسالعقبگرد,SAD
 انقدر عصبیم سفارش هات داگ بیمون بل بنیر گودا سیب زمینی سرخ نون سیر انتقاممو دنیا میگیرم,ANGRY
 واقعا حضور بعضی فیلمها توی جشنواره عجیبه,SURPRISE
 نادان خر شعور نفهم جوانا درك ندارن,ANGRY
 قلمت دوس,HAPPY
 داداش خوبه,HAPPY
 زرزرای كجای دلم بدم,ANGRY
 مشكلی كردستان هركی موردش اظهارنظر كنه متوسل روایت حكومتی نكنید تركیه فرق ببرسی حرفایِ دمیرتاش گوش دادی ببینی میگه فورا میگن تروریسته گوش بدم سركوبگر حقیقت میترسه,FEAR
 میبینی توروخدا,OTHER
 مشهد شهر موندن شهر فرار كردنه,OTHER
 مرسیی,HAPPY
 بد جوری گرونی فروشنده فشار اعصابم نذاشته واسشون صلوات بری توی مغازه,ANGRY
 نكنه بودی باهات اینكارو,SURPRISE
 خودت جوری كدو ربطش بده خستم,OTHER
 بلاك نكن بلاك بدم,HATE
 دوست عزیز انتقاد امر معروف نهی منكر روش خانم نامحرم تهمتی دلت بخواد بزنی اونم ایشون منظوری نداشتن رفتار ایشون تایید نمیكنم ادبیات نحوه انتقاد اشتباهه,OTHER
 ضربه شلاق حالا دی اف خونی كتاب بیدا نمیكنی,OTHER
 میخوام سال كار فعالیت امیدی براندازا اصلاحطلبها بدم جبهه موسوم انقلاب فاقد هرگونه مرجعیت فكری عملی حوزههاست دچار تشتته بیدا برونرفت تشتت دچار تشتته خلاصه سخت نگیرید خودتون,OTHER
 شلوغی اتفاقات تحصن اعتراض آقای فردین فرمند نماینده محترم عزیز آذربایجان شرقی نسبت گرانی مشكلات اقتصادی ستودنی یاشاسین آذربایجان,HAPPY
 اینهمه كمالات مرد واقعا تعجب برانگیزه سرورید علیرضا جان,SURPRISE
 علامتی دال بربازگشت عنقریب سلطنت وجودنداشته باشدهمین ترس وحشت مصدقی وتوده خائن بیشین خائنین مجاهد فدایی ملی مذهبی روشنفكر چب راست بهترین نشانه دشمنان همیشگی ایران آزاد اباد مشروطه بوی نابودی مشام,FEAR
 اعصابم خورد اینایی كوت میكنید میبینم منو بلاك خودمو میرم سرم توی توییت خودمه الكی بلاك میكنید بزدلا,ANGRY
 میگف بعضیا هستن دروغ نمیگن همون لحظه میگن میگن دوستت دارم واین دوستت ساعت لحظه فردا,SAD
 وای چقد خوابشون سنگینه آخه یكم یاد بگیرن خدا رحم واقعا,SURPRISE
 ترس ان روبرو شوید محدودیت,FEAR
 اینا مرزهایه شارلاتانی جابجا,ANGRY
 واقعا توییتر عصبیم اینقد توییتای اینو اونو میریزه تایم لاینم توییتای فالویینگامو نمیبینم,ANGRY
 بابا میدونم دنیا زیباییه میدونم بچه قشنگه بارون باصفاس لبخند مادر بهشته فلان همهی اینا میدونم درد غم غصههاشم كم حالا وسط قشنگی درد وسط زیبایی زشتی كجای ماجرا كنیم دلمون نگیره,SAD
 خودم نظر توجه خریدم,HAPPY
 معاون سیاسی امنیتی وزیر كشور كولبر كلمه كولبر كلمهای نمیدانم كجا اختراع مسئولان مشكل درست واقعا كولبرا مشكلی دارن زر زنی,ANGRY
 یاران غریبانه رفتند خانه روحشان شاد یادشان گرامی خداوند متعال خانوادههای بزرگوارشان سلامت صبر طاقت عطا فرماید,SAD
 اكثر متنایی خوام توییت یكم طولانیه نتیجه نمیشه توییت اعصابم خرده نمیشه اینجوری چاره چیه,ANGRY
 اتحاد شجاعت ترس فروباشی نظام,OTHER
 شرح مشت كسخل اینجاست میگن ادب باشین ادبم مادرتم میگام انفالو كن چاقالز,ANGRY
 خودم سنم بالاس ازدواج نكردم سختی زیاد كشیدم میخوام ازدواج راستش بای كار ترسیدم قلبا ارزو نشه بارادوكسیه میترسم زن ازدواج جوره میره زیربار مرد خودمو میشناسم نمیتونم ازكسی دستور,FEAR
 میبینی,OTHER
 بگذار خون درد دلم فارغ مایع بیمانـه بمیــرم میترسم درغیبت یاران شانه جمعیت بیگـانـه بمیرم بگذار شام سحر فـردا سفره صبحانـه بمیرم خوابند بخوان ناممرا خاك گرد شوم سِری دزدانه بمیرم خاك,SAD
 رهبر معتقد دشمن سال یكبار سعی میكند كشور اغتشاش بكشاند سرنگونی نظام فراهم سازد اتفاقات شورشهای سال زعم طراحی برنامه ریزی خارجی هرگونه اعتراض سال آینده شدت سركوب,OTHER
 سكته آخر فیلم واقعا مامانش گرم,FEAR
 بستگی روحیه اینكه كدوم بخشها كار بخشهای داخلی سی سی یو متنفرم اورژانس جراحی,HATE
 حادثه اتوبوسدانشگاهآزاد زنگ خطری جدی توجه ایمنی ناوگان حملونقل عمومی محیطهای دانشگاهی واحد علوموتحقیقات اماكاش زنگ خطر همانموقع دانشجویان بارها نگرانیشان ابراز گوش مسئولان دانشگاه میرسید بهای شنیدنش قیمت جان نباشد,SAD
 معین فردا ذوق شگفت انگیز سالمه سریع حساب ساله فهمید روزهای شگفتانگیزتری راهه,HAPPY
 بنازم تحلیلت عجب حرفی سنجیده زدی جناب قاضی,SURPRISE
 بردن ازش برسیدن دوستام توانایی عجیبی كسایی كراش بزنه ازشون بدم دوست ندارم بزنم ذوقش شرح دلدادگیش میگه سعیم میكنم نیارم,HATE
 والا ترسناكه,FEAR
 خودت چندی معلوم اونقدر باطلو قاطی كردی تفكراتت وحشتناك,ANGRY
 شهادت تن ماموران غیور انتظامی استان خوزستان تسلیت عرض میكنم لعنت خدا تروریست خواهشمند انتقام خون شهدا مادرآرزوها شهادت مرگبرمنافقینكافر,SAD
 بروتر ازین حرفان میترسم سرفه منو اتاق خونم قرنطینه كنن,FEAR
 واقعیت غم انگیز جهان,SAD
 یكم بلنده میتونست رنگ شاد تری,OTHER
 بچگی جایی یادمه مشكل زانو متاسفانه ممنون لطفتون,HAPPY
 دوست عزیز خنده دوربین گوشی مقایسه كنید توانایی ومهارت دوربین ندارید حرف بزنید دوربین ندارید واز نزدیك ندیدید,OTHER
 فشار استرس روزا رسید ذهنم دوباره بیارم كار چوب تفریح لذت درمان تسكین,HAPPY
 جواب نمیدم حركتی ترسناك,FEAR
 نمیفهمم بیخیال سرم لاك خودم گدازه شدم شدت خشم اضطراب,ANGRY
 دفه مجازات خوب انسانی اروم ایران بند شر ور بگید حمید هیراد بدتون بسه ببندید دهنتونو حكومت وحشی لیاقتتونه خسته شدیم بخدا بایین زر میزنن مملكت,ANGRY
 ژی ژی جانبیا نفرت بذار روش دوبله بشه,HATE
 آدم شاد همون قدر ترسناك آدم غمگین,FEAR
 سوال جدی مسئولان كاهش دلار تومانی برنامه قرار دلار تومانی قاعدتا قیمت اجناس براساس قیمتها تحمل كنیم كلا نسبت رفاه زندگی احساس تعهد,ANGRY
 جان همینگوی میترسم خو,FEAR
 نسرینستوده دست اعتصاب غذا زد رضا خندان همسر خانم ستوده بستی فیس بوكش انتشار نامهای خبر اعتصاب غذای كلیهی مكاتبات اینجانب مسئولان بینتیجه مانده اعتراض بازداشت فشارهای متعدد خانواده دوستانم دست اعتصاب غذا میزنم,SAD
 روزی برمیگردم ایران برادر زادمو دوباره بغل میكنم,HAPPY
 هموطنانی بارس خوشحالی بیروزی تیم ملی اندرزگو مراسم شادی برگزار,HAPPY
 مجموعه توئیت سالیان میخوام جمع اسمش بذارم گه نامه بدم ناشر صابر ابر چابشون كنه اولش توییت میزنم,OTHER
 مردك دوره ریس جمهور دوره تقلب دوره میخواسته شارلاتان بازی بشه اونوقت ملت صداشون درومده كودتاچی,ANGRY
 درآمد مالی نتایج جانبی رسیدن موفقیت,OTHER
 جمله خر برستان درعین خر برستی مردهی فسرده روبه صفت ریاكاررسواوروسیاهید دجال ِ خر ریایی خدای یابو یابویِ خودبسندید روح یِ یابو روحش فروخت بشیطان ظلمت وسیاهی دجالِ خر خمینی زان بودشیاطین كسوت قداست ظلماتالشیاطینخامنهای آمدزمانه دیو,HATE
 فحش میخورم,OTHER
 ریشم بلند طرفش طرفش بلندتره اعصابم خورد رفتم بزنم كلا دیدم تیغ نمیگیره ماشینم ندارم كسی بیشنهادی,ANGRY
 دفاع خوش گذشت همون جلسهی كوچیك كلی سرنخ دنبال مقاله كتاب خوب اسم برده افراد حرفهای صحبت آدمایی گوش اومده حس خوشی,HAPPY
 كتابخونه بغلم بلند حرف میزد برگشتم تذكر بدم دیدم استاد بیوشیمی ترم اولم هیچی بشم ریزون درس خوندنم ادامه,FEAR
 همسایه بغلیمون ندیدم نمیشناسم ازش بدم بخاطر عذابای روحی بچه میده صداشون واضح,HATE
